,Transaction_ID,Date,Customer_ID,Age,Gender,Income,Loyalty_Score,Signup_Date,Product_ID,Category,City,Channel,Payment_Method,Device,Price,Discount_Percent,Promotion_Flag,Promo_Type,Units_Sold,Revenue,Cost,Profit,Margin_Percent,Return_Flag,Supplier_ID,Lead_Time_Days,Delivery_Delay_Days,Stock_On_Hand,Marketing_Channel,Coupon_Code_Flag,CLV_proxy,Recency_Days,Frequency_12m,Online_Device,Season,GMV,Discount_Amount,Net_Revenue,Profit_Margin,Phone_No
10,T200811,2025-07-01,C1456,39,F,58364,6,2025-09-06,P106,Beauty,Jaipur,Offline,UPI,Mobile,26.12,0,0,,11,287.32,100.56,186.76,65.0,0,S14,10,2,31,SMS,0,378.92,126,11,,Summer,287.32,0.0,287.32,65.0,8681838850
11,T200076,2025-05-13,C1363,39,M,69804,2,2021-06-03,P105,Apparel,Chennai,Online,UPI,Desktop,38.15,10,1,Clearance,17,583.69,291.85,291.84,50.0,0,S12,12,0,28,Affiliate,0,204.46,49,2,Mobile,Summer,648.55,64.86,583.6899999999999,50.0,8681838850
12,T200636,2024-11-19,C1146,47,F,84056,2,2021-06-07,P103,HomeGoods,Delhi,Online,Card,Desktop,72.26,20,1,,13,751.5,469.69,281.81,37.5,0,S14,8,3,20,Organic,0,262.05,163,2,Mobile,Festival,939.3800000000001,187.88,751.5000000000001,37.5,8681838850
13,T200973,2024-04-01,C1449,29,M,47282,1,2023-04-08,P101,Electronics,Bengaluru,Online,UPI,POS,298.72,20,1,Seasonal,1,238.98,194.17,44.81,18.75,0,S14,9,2,10,SMS,0,77.15,101,2,App,Regular,298.72,59.74,238.98,18.75,8681838850
14,T200938,2024-01-21,C1488,23,M,71484,7,2021-06-16,P100,Electronics,Hyderabad,Online,Card,Mobile,509.91,20,1,Flash,1,407.93,331.44,76.49,18.75,0,S11,9,1,6,,0,551.38,168,9,Desktop,Regular,509.91,101.98,407.93,18.75,8681838850
15,T200899,2023-12-29,C1286,33,F,31483,4,2021-05-02,P103,HomeGoods,Hyderabad,Online,UPI,Mobile,79.23,0,0,,6,475.38,237.69,237.69,50.0,0,S11,3,0,14,,0,173.47,89,8,Mobile,Festival,475.38,0.0,475.38,50.0,8681838850
16,T200280,2025-08-07,C1039,25,F,56626,5,2022-05-05,P101,Electronics,Jaipur,Online,NetBanking,Desktop,288.36,0,0,,1,288.36,187.43,100.93,35.0,0,S12,7,0,13,Organic,0,311.97,3,8,Desktop,Regular,288.36,0.0,288.36,35.0,8681838850
17,T200883,2024-01-11,C1465,32,M,30113,5,2022-06-10,P101,Electronics,Hyderabad,Online,Card,POS,278.3,5,1,Clearance,1,264.38,180.9,83.48,31.58,0,S12,2,0,17,Email,0,178.4,43,5,Desktop,Regular,278.3,13.92,264.38,31.58,8681838850
18,T200761,2024-06-11,C1406,38,F,99078,5,2025-04-15,P103,HomeGoods,Jaipur,Offline,Card,App,74.86,15,1,Flash,6,381.79,224.58,157.21,41.18,0,S13,5,0,15,PaidSocial,0,540.31,62,3,,Summer,449.16,67.37,381.79,41.18,8681838850
19,T200319,2024-04-27,C1393,18,F,44120,3,2020-07-08,P102,HomeGoods,Bengaluru,Online,Card,App,91.03,20,1,,6,436.94,273.09,163.85,37.5,0,S11,5,2,31,Email,0,186.98,126,4,Mobile,Regular,546.1800000000001,109.24,436.9400000000001,37.5,8681838850
20,T200549,2025-05-13,C1079,31,F,58629,5,2023-03-04,P104,Apparel,Delhi,Offline,Card,Desktop,60.47,0,0,,10,604.7,272.12,332.58,55.0,0,S11,3,1,32,Organic,0,353.62,54,8,,Summer,604.7,0.0,604.7,55.0,8681838850
21,T200174,2025-02-09,C1051,18,F,53194,3,2021-04-08,P101,Electronics,Jaipur,Offline,UPI,Mobile,279.65,5,1,Flash,1,265.67,181.77,83.9,31.58,0,S12,4,2,20,,0,187.55,121,2,,Regular,279.65,13.98,265.67,31.58,8681838850
22,T200371,2023-11-10,C1241,39,F,61045,5,2020-10-09,P108,Sports,Delhi,Offline,UPI,Mobile,139.41,10,1,Loyalty,7,878.28,536.73,341.55,38.89,0,S13,7,1,29,SMS,0,402.81,72,7,,Festival,975.87,97.59,878.28,38.89,8681838850
23,T200527,2024-05-14,C1494,50,M,56704,2,2022-09-25,P101,Electronics,Mumbai,Offline,Card,Mobile,306.79,5,1,Loyalty,1,291.45,199.41,92.04,31.58,0,S10,3,1,10,Organic,0,144.09,164,4,,Summer,306.79,15.34,291.45,31.58,8681838850
24,T200210,2024-12-01,C1418,59,M,55295,4,2024-09-21,P101,Electronics,Bengaluru,Offline,Card,App,293.94,0,0,,1,293.94,191.06,102.88,35.0,0,S10,4,0,29,PaidSocial,0,250.57,190,9,,Festival,293.94,0.0,293.94,35.0,8681838850
25,T200235,2025-04-07,C1475,46,M,27874,2,2021-11-26,P104,Apparel,Mumbai,Online,UPI,POS,60.32,10,1,Flash,13,705.74,352.87,352.87,50.0,0,S12,11,0,31,Organic,0,134.16,131,2,App,Regular,784.16,78.42,705.74,50.0,8681838850
26,T200101,2025-02-03,C1268,38,M,39718,3,2022-11-12,P105,Apparel,Chennai,Offline,Card,Desktop,41.59,5,1,Flash,16,632.17,299.45,332.72,52.63,0,S12,8,1,18,Organic,0,185.7,144,7,,Regular,665.44,33.27,632.1700000000001,52.63,8681838850
27,T200986,2025-03-13,C1153,29,M,54234,4,2022-09-16,P104,Apparel,Mumbai,Online,UPI,Desktop,61.37,10,1,Seasonal,13,718.03,359.01,359.02,50.0,0,S14,6,0,28,Organic,0,296.72,101,8,Mobile,Regular,797.81,79.78,718.03,50.0,8681838850
28,T200902,2024-03-08,C1052,33,M,60397,1,2020-08-02,P104,Apparel,Bengaluru,Online,Card,Mobile,54.44,20,1,Clearance,17,740.38,416.47,323.91,43.75,0,S13,7,0,35,Affiliate,0,152.94,145,5,App,Regular,925.48,185.1,740.38,43.75,8681838850
29,T200947,2025-08-15,C1088,36,F,42338,3,2024-10-02,P105,Apparel,Delhi,Offline,Card,App,41.0,15,1,,14,487.9,258.3,229.6,47.06,0,S11,6,2,17,Organic,0,184.41,13,7,,Regular,574.0,86.1,487.9,47.06,8681838850
30,T200346,2025-02-02,C1447,45,M,32050,1,2020-12-24,P106,Beauty,Mumbai,Online,UPI,Mobile,24.25,0,0,,12,291.0,101.85,189.15,65.0,0,S13,5,0,47,Organic,0,61.15,170,5,Mobile,Regular,291.0,0.0,291.0,65.0,8681838850
31,T200139,2025-10-06,C1323,31,M,56701,4,2024-11-01,P106,Beauty,Delhi,Online,Card,Desktop,24.92,0,0,,18,448.56,157.0,291.56,65.0,0,S12,10,1,41,SMS,0,271.66,194,9,Desktop,Regular,448.5600000000001,0.0,448.5600000000001,65.0,8681838850
32,T200621,2024-03-28,C1126,28,F,62593,5,2022-11-14,P100,Electronics,Bengaluru,Offline,UPI,Mobile,462.26,10,1,,1,416.03,300.47,115.56,27.78,0,S10,8,0,29,Affiliate,0,359.19,65,6,,Regular,462.26,46.23,416.03,27.78,8681838850
33,T200499,2025-10-16,C1205,29,M,56582,3,2022-11-21,P104,Apparel,Mumbai,Online,Card,Desktop,60.1,10,1,,9,486.81,243.41,243.4,50.0,0,S11,3,1,10,Organic,0,223.84,101,3,Desktop,Regular,540.9,54.09,486.8099999999999,50.0,8681838850
34,T200370,2024-01-09,C1483,46,M,39368,5,2022-01-16,P105,Apparel,Mumbai,Offline,UPI,Mobile,37.64,0,0,,9,338.76,152.44,186.32,55.0,0,S12,6,0,11,Organic,0,230.72,84,10,,Regular,338.76,0.0,338.76,55.0,8681838850
35,T200198,2025-08-05,C1053,41,M,61836,5,2024-04-27,P105,Apparel,Bengaluru,Offline,UPI,POS,36.08,15,1,Flash,15,460.02,243.54,216.48,47.06,0,S11,2,0,19,Organic,0,363.3,124,11,,Regular,541.1999999999999,81.18,460.0199999999999,47.06,8681838850
36,T200687,2024-05-19,C1151,40,F,8000,1,2021-05-26,P108,Sports,Hyderabad,Offline,Card,POS,142.44,5,1,Loyalty,3,405.95,235.03,170.92,42.1,0,S14,6,0,31,PaidSocial,1,50.73,185,1,,Summer,427.32,21.37,405.95,42.1,8681838850
37,T200584,2025-02-01,C1304,49,F,39305,4,2022-08-22,P102,HomeGoods,Delhi,Offline,NetBanking,Mobile,92.02,0,0,,6,552.12,276.06,276.06,50.0,0,S11,9,0,24,Email,0,212.43,34,7,,Regular,552.12,0.0,552.12,50.0,8681838850
38,T200901,2023-11-16,C1141,42,F,54332,1,2022-05-19,P101,Electronics,Pune,Offline,NetBanking,Mobile,313.68,5,1,Clearance,1,298.0,203.89,94.11,31.58,0,S13,4,4,27,SMS,1,85.7,101,2,,Festival,313.68,15.68,298.0,31.58,8681838850
39,T200059,2024-06-21,C1102,33,F,9864,7,2021-02-04,P103,HomeGoods,Delhi,Offline,Card,Mobile,83.33,15,1,,6,424.98,249.99,174.99,41.18,0,S11,8,0,34,Email,0,119.05,186,12,,Summer,499.98,75.0,424.98,41.18,8681838850
40,T200328,2024-08-29,C1257,31,F,83999,6,2023-07-17,P108,Sports,Bengaluru,Online,NetBanking,Desktop,153.09,10,1,Seasonal,4,551.12,336.8,214.32,38.89,0,S11,11,0,24,PaidSocial,0,565.23,177,9,App,Regular,612.36,61.24,551.12,38.89,8681838850
41,T200096,2024-11-12,C1169,35,F,62167,5,2020-10-10,P100,Electronics,Mumbai,Online,Card,App,454.0,5,1,,1,431.3,295.1,136.2,31.58,0,S14,11,0,16,SMS,0,356.23,84,8,App,Festival,454.0,22.7,431.3,31.58,8681838850
42,T200312,2023-11-15,C1044,23,M,43792,2,2023-08-31,P105,Apparel,Hyderabad,Offline,UPI,Desktop,39.84,15,1,Seasonal,17,575.69,304.78,270.91,47.06,0,S12,6,0,28,Email,0,155.31,125,2,,Festival,677.2800000000001,101.59,575.69,47.06,8681838850
43,T200974,2023-11-19,C1429,31,F,25536,7,2025-04-16,P104,Apparel,Pune,Offline,Card,POS,62.22,5,1,Clearance,12,709.31,335.99,373.32,52.63,0,S11,4,1,39,Organic,0,253.42,35,8,,Festival,746.64,37.33,709.31,52.63,8681838850
44,T200299,2023-12-29,C1362,41,M,59273,3,2024-10-30,P100,Electronics,Pune,Online,Card,App,496.58,0,0,,1,496.58,322.78,173.8,35.0,0,S13,8,3,29,SMS,0,227.48,45,4,App,Festival,496.58,0.0,496.58,35.0,8681838850
45,T200277,2025-02-13,C1185,36,F,70548,2,2023-04-01,P105,Apparel,Pune,Offline,UPI,POS,41.34,0,0,,12,496.08,223.24,272.84,55.0,0,S14,7,0,36,Affiliate,0,190.7,172,1,,Regular,496.08,0.0,496.08,55.0,8681838850
46,T200924,2024-09-02,C1488,23,M,71484,7,2021-06-16,P109,Sports,Mumbai,Online,UPI,Desktop,123.84,0,0,,4,495.36,272.45,222.91,45.0,0,S12,8,2,11,PaidSocial,0,549.92,108,7,App,Regular,495.36,0.0,495.36,45.0,8681838850
47,T200601,2024-05-18,C1327,29,F,53555,4,2020-12-17,P101,Electronics,Delhi,Offline,NetBanking,App,285.72,0,0,,1,285.72,185.72,100.0,35.0,1,S13,6,0,29,Email,0,242.79,182,10,,Summer,285.72,0.0,285.72,35.0,8681838850
48,T200439,2023-12-26,C1439,36,M,18037,4,2021-04-17,P103,HomeGoods,Bengaluru,Offline,UPI,Desktop,76.09,5,1,Seasonal,10,722.86,380.45,342.41,47.37,0,S12,5,3,15,Affiliate,1,148.24,119,9,,Festival,760.9000000000001,38.04,722.8600000000001,47.37,8681838850
49,T200837,2024-07-18,C1481,30,F,22236,5,2023-03-01,P103,HomeGoods,Jaipur,Offline,Card,Desktop,82.7,5,1,,8,628.52,330.8,297.72,47.37,0,S12,8,1,16,SMS,0,177.34,18,9,,Summer,661.6,33.08,628.52,47.37,8681838850
50,T200570,2024-11-06,C1405,35,M,35369,3,2023-05-12,P100,Electronics,Hyderabad,Offline,UPI,Mobile,454.54,0,0,,1,454.54,295.45,159.09,35.0,0,S11,6,0,7,PaidSocial,0,151.56,81,7,,Festival,454.54,0.0,454.54,35.0,8681838850
51,T200879,2024-04-07,C1426,55,F,44357,4,2021-08-29,P105,Apparel,Bengaluru,Online,Card,Desktop,40.82,10,1,Clearance,12,440.86,220.43,220.43,50.0,0,S13,8,1,12,Organic,0,226.41,131,12,Desktop,Regular,489.84,48.98,440.86,50.0,8681838850
52,T200261,2025-10-19,C1453,30,M,46812,1,2025-01-06,P107,Beauty,Jaipur,Offline,COD,App,18.95,15,1,Flash,31,499.33,205.61,293.72,58.82,0,S11,6,2,44,Email,1,105.56,2,4,,Regular,587.4499999999999,88.12,499.3299999999999,58.82,8681838850
53,T200578,2024-10-21,C1497,24,F,47422,4,2022-06-08,P107,Beauty,Delhi,Offline,Card,Mobile,20.11,0,0,,23,462.53,161.89,300.64,65.0,0,S13,7,1,39,SMS,0,235.94,80,7,,Regular,462.53,0.0,462.53,65.0,8681838850
54,T200023,2024-07-21,C1488,23,M,71484,7,2021-06-16,P102,HomeGoods,Pune,Offline,Card,POS,93.5,20,1,Flash,4,299.2,187.0,112.2,37.5,0,S14,5,0,32,Affiliate,0,537.79,170,6,,Summer,374.0,74.8,299.2,37.5,8681838850
55,T200030,2025-01-13,C1198,46,F,41907,6,2021-08-14,P106,Beauty,Delhi,Online,COD,App,24.06,5,1,,15,342.85,126.31,216.54,63.16,0,S12,7,0,22,Affiliate,0,287.53,6,4,Desktop,Regular,360.9,18.05,342.85,63.16,8681838850
56,T200617,2024-05-17,C1021,54,F,28128,2,2024-03-06,P101,Electronics,Hyderabad,Online,UPI,Mobile,296.42,15,1,,1,251.96,192.67,59.29,23.53,0,S13,3,2,18,Organic,0,85.9,139,1,App,Summer,296.42,44.46,251.96,23.53,8681838850
57,T200010,2023-11-12,C1214,31,M,49091,2,2023-06-29,P100,Electronics,Kolkata,Offline,UPI,Desktop,500.01,5,1,Clearance,1,475.01,325.01,150.0,31.58,0,S13,7,0,12,Email,0,148.18,115,1,,Festival,500.01,25.0,475.01,31.58,8681838850
58,T200221,2024-12-15,C1119,41,F,53693,1,2022-04-30,P105,Apparel,Kolkata,Offline,COD,App,37.45,20,1,Seasonal,27,808.92,455.02,353.9,43.75,0,S13,7,3,37,PaidSocial,0,154.81,148,3,,Festival,1011.15,202.23,808.9200000000001,43.75,8681838850
59,T200820,2025-06-05,C1484,49,F,75787,5,2020-08-02,P102,HomeGoods,Bengaluru,Online,UPI,App,82.29,0,0,,5,411.45,205.73,205.72,50.0,0,S10,6,0,23,PaidSocial,0,420.08,149,8,App,Summer,411.45,0.0,411.45,50.0,8681838850
60,T200296,2025-05-12,C1303,36,M,58622,2,2025-08-30,P105,Apparel,Mumbai,Offline,UPI,POS,40.98,15,1,Seasonal,19,661.83,350.38,311.45,47.06,0,S14,5,2,41,Organic,1,195.11,68,2,,Summer,778.6199999999999,116.79,661.8299999999999,47.06,8681838850
61,T200054,2025-01-06,C1422,19,F,84934,8,2025-02-20,P107,Beauty,Jaipur,Online,Card,Desktop,20.09,0,0,,15,301.35,105.47,195.88,65.0,0,S14,1,5,43,Affiliate,0,709.61,130,8,App,Regular,301.35,0.0,301.35,65.0,8681838850
62,T200542,2024-04-11,C1040,55,M,47672,1,2021-01-17,P101,Electronics,Chennai,Offline,UPI,App,312.08,15,1,,1,265.27,202.85,62.42,23.53,0,S12,1,0,25,PaidSocial,1,78.88,93,1,,Regular,312.08,46.81,265.27,23.53,8681838850
63,T200209,2024-02-22,C1489,50,M,90700,2,2023-04-06,P102,HomeGoods,Delhi,Offline,Card,Mobile,83.28,15,1,,6,424.73,249.84,174.89,41.18,0,S14,8,0,27,,0,231.37,38,1,,Regular,499.68,74.95,424.73,41.18,8681838850
64,T200604,2024-01-24,C1317,47,F,43598,5,2021-09-06,P105,Apparel,Bengaluru,Offline,Card,POS,38.76,15,1,Clearance,11,362.41,191.86,170.55,47.06,0,S13,11,1,30,SMS,0,260.63,153,9,,Regular,426.36,63.95,362.41,47.06,8681838850
65,T200692,2024-11-01,C1104,58,M,37854,1,2021-12-17,P103,HomeGoods,Mumbai,Online,UPI,POS,83.7,5,1,,14,1113.21,585.9,527.31,47.37,0,S13,2,0,35,Email,0,155.03,81,3,App,Festival,1171.8,58.59,1113.21,47.37,8681838850
66,T200662,2025-01-12,C1242,37,F,50352,4,2020-08-15,P101,Electronics,Delhi,Offline,COD,POS,285.2,5,1,Clearance,1,270.94,185.38,85.56,31.58,0,S14,1,0,15,Affiliate,0,229.93,56,8,,Regular,285.2,14.26,270.94,31.58,8681838850
67,T200866,2024-02-18,C1263,36,M,53062,5,2022-08-25,P102,HomeGoods,Chennai,Online,Card,App,83.84,5,1,Loyalty,6,477.89,251.52,226.37,47.37,0,S10,9,0,31,PaidSocial,0,315.61,37,6,App,Regular,503.04,25.15,477.89,47.37,8681838850
68,T200070,2025-05-13,C1292,36,F,68758,2,2023-06-05,P102,HomeGoods,Kolkata,Offline,UPI,App,89.7,10,1,Loyalty,10,807.3,448.5,358.8,44.44,0,S13,6,0,20,Organic,1,227.22,103,1,,Summer,897.0,89.7,807.3,44.44,8681838850
69,T200543,2025-03-01,C1400,51,F,39475,6,2022-09-06,P109,Sports,Jaipur,Offline,COD,App,127.04,0,0,,4,508.16,279.49,228.67,45.0,0,S12,8,2,22,PaidSocial,0,287.67,136,6,,Regular,508.16,0.0,508.16,45.0,8681838850
70,T200107,2025-05-01,C1378,44,M,52115,5,2024-04-16,P105,Apparel,Kolkata,Offline,NetBanking,POS,36.78,10,1,Clearance,15,496.53,248.27,248.26,50.0,0,S10,11,0,34,PaidSocial,0,315.75,48,5,,Summer,551.7,55.17,496.53,50.0,8681838850
71,T200493,2024-03-13,C1386,30,M,84777,5,2021-05-17,P102,HomeGoods,Mumbai,Offline,NetBanking,Mobile,90.17,10,1,Seasonal,7,568.07,315.6,252.47,44.44,0,S12,11,1,11,Email,0,487.0,74,9,,Regular,631.19,63.12,568.07,44.44,8681838850
72,T200590,2024-02-06,C1389,31,M,58734,4,2025-03-23,P108,Sports,Hyderabad,Online,COD,Mobile,136.71,20,1,,8,874.94,601.52,273.42,31.25,0,S13,1,0,11,Email,0,344.3,92,3,App,Regular,1093.68,218.74,874.94,31.25,8681838850
73,T200741,2024-06-04,C1230,33,F,51134,3,2021-01-17,P108,Sports,Bengaluru,Online,Card,Mobile,145.38,15,1,,5,617.87,399.8,218.07,35.29,0,S13,9,0,33,Affiliate,0,226.09,169,2,App,Summer,726.9,109.04,617.86,35.29,8681838850
74,T200292,2025-06-19,C1091,56,M,61927,3,2025-09-16,P103,HomeGoods,Chennai,Offline,Card,App,81.37,20,1,Clearance,5,325.48,203.43,122.05,37.5,0,S11,7,0,5,,1,226.47,38,1,,Summer,406.85,81.37,325.48,37.5,8681838850
75,T200289,2025-01-01,C1146,47,F,84056,2,2021-06-07,P100,Electronics,Pune,Online,Card,POS,511.25,15,1,Clearance,1,434.56,332.31,102.25,23.53,0,S14,1,2,19,Organic,0,219.24,137,2,Desktop,Regular,511.25,76.69,434.56,23.53,8681838850
76,T200652,2024-12-29,C1210,34,M,71929,2,2023-10-11,P103,HomeGoods,Mumbai,Offline,COD,Mobile,79.79,0,0,,13,1037.27,518.63,518.64,50.0,0,S11,8,0,41,Email,0,247.59,85,3,,Festival,1037.27,0.0,1037.27,50.0,8681838850
77,T200039,2024-09-13,C1334,37,F,43535,4,2023-04-10,P105,Apparel,Chennai,Offline,UPI,App,40.84,10,1,Flash,13,477.83,238.91,238.92,50.0,0,S10,9,0,25,Email,0,227.23,75,4,,Regular,530.9200000000001,53.09,477.83,50.0,8681838850
78,T200589,2024-02-15,C1122,38,M,45404,2,2022-12-22,P103,HomeGoods,Kolkata,Online,UPI,Desktop,82.08,15,1,Seasonal,11,767.45,451.44,316.01,41.18,0,S12,9,0,15,SMS,1,181.1,145,5,Mobile,Regular,902.88,135.43,767.45,41.18,8681838850
79,T200307,2024-06-19,C1421,18,F,42123,3,2023-08-13,P106,Beauty,Pune,Offline,COD,POS,22.63,0,0,,19,429.97,150.49,279.48,65.0,0,S10,2,2,39,PaidSocial,0,169.37,122,2,,Summer,429.97,0.0,429.97,65.0,8681838850
80,T200679,2025-07-20,C1403,31,F,20768,1,2024-02-18,P105,Apparel,Bengaluru,Online,NetBanking,POS,40.29,20,1,Clearance,11,354.55,199.44,155.11,43.75,0,S12,8,0,14,Affiliate,0,65.09,149,5,Mobile,Summer,443.19,88.64,354.55,43.75,8681838850
81,T200066,2024-02-07,C1187,18,F,68850,10,2024-03-27,P100,Electronics,Hyderabad,Offline,Card,Mobile,462.5,5,1,Flash,1,439.38,300.62,138.76,31.58,0,S10,3,0,16,Email,0,734.75,147,11,,Regular,462.5,23.12,439.38,31.58,8681838850
82,T200275,2024-10-28,C1348,40,M,61111,8,2023-04-04,P108,Sports,Bengaluru,Offline,Card,Mobile,156.29,0,0,,4,625.16,343.84,281.32,45.0,0,S12,9,0,29,SMS,0,551.4,21,5,,Regular,625.16,0.0,625.16,45.0,8681838850
83,T200067,2025-06-04,C1300,25,M,80012,5,2022-03-24,P105,Apparel,Mumbai,Offline,Card,Mobile,39.98,5,1,Clearance,14,531.73,251.87,279.86,52.63,0,S13,10,3,21,PaidSocial,0,456.03,33,4,,Summer,559.7199999999999,27.99,531.7299999999999,52.63,8681838850
84,T200318,2024-02-19,C1425,31,M,13276,2,2021-03-25,P107,Beauty,Chennai,Online,COD,Desktop,18.38,0,0,,21,385.98,135.09,250.89,65.0,0,S13,9,0,26,Email,0,65.15,132,2,Desktop,Regular,385.98,0.0,385.98,65.0,8681838850
85,T200548,2024-11-10,C1462,47,M,17190,3,2025-04-27,P105,Apparel,Bengaluru,Offline,UPI,Desktop,38.27,0,0,,19,727.13,327.21,399.92,55.0,0,S13,4,2,24,PaidSocial,0,124.28,108,4,,Festival,727.1300000000001,0.0,727.1300000000001,55.0,8681838850
86,T200998,2025-09-20,C1431,20,M,43347,4,2021-07-10,P107,Beauty,Kolkata,Online,Card,App,20.14,0,0,,23,463.22,162.13,301.09,65.0,0,S14,10,1,39,Organic,0,219.71,134,10,App,Regular,463.22,0.0,463.22,65.0,8681838850
87,T200714,2024-07-08,C1039,25,F,56626,5,2022-05-05,P100,Electronics,Chennai,Online,UPI,Desktop,457.24,10,1,Loyalty,1,411.52,297.21,114.31,27.78,0,S13,10,0,4,PaidSocial,0,328.85,22,12,App,Summer,457.24,45.72,411.52,27.78,8681838850
88,T200753,2024-06-28,C1228,30,F,44709,1,2024-11-11,P103,HomeGoods,Pune,Offline,Card,App,82.75,15,1,Loyalty,7,492.36,289.62,202.74,41.18,0,S10,7,4,20,Affiliate,0,102.63,106,4,,Summer,579.25,86.89,492.36,41.18,8681838850
89,T200327,2025-01-16,C1355,24,F,53354,2,2020-05-26,P102,HomeGoods,Hyderabad,Online,NetBanking,Mobile,84.18,5,1,Loyalty,10,799.71,420.9,378.81,47.37,0,S12,6,5,28,PaidSocial,0,190.89,107,5,Mobile,Regular,841.8000000000001,42.09,799.71,47.37,8681838850
90,T200382,2025-01-29,C1021,54,F,28128,2,2024-03-06,P107,Beauty,Hyderabad,Online,NetBanking,App,18.88,5,1,,34,609.82,224.67,385.15,63.16,0,S11,2,0,46,Affiliate,0,120.45,176,3,Desktop,Regular,641.92,32.1,609.8199999999999,63.16,8681838850
91,T200451,2024-12-08,C1452,27,F,53776,1,2021-12-25,P103,HomeGoods,Chennai,Offline,NetBanking,Mobile,75.78,0,0,,10,757.8,378.9,378.9,50.0,0,S11,7,2,28,PaidSocial,0,129.56,78,3,,Festival,757.8,0.0,757.8,50.0,8681838850
92,T200522,2025-10-05,C1273,54,F,50073,1,2020-08-10,P104,Apparel,Bengaluru,Online,UPI,Desktop,58.58,25,1,Loyalty,14,615.09,369.05,246.04,40.0,0,S11,2,0,30,Affiliate,0,132.09,72,4,Desktop,Regular,820.12,205.03,615.09,40.0,8681838850
93,T200218,2025-02-13,C1226,52,M,37442,4,2022-02-03,P107,Beauty,Delhi,Offline,COD,Desktop,19.97,5,1,,21,398.4,146.78,251.62,63.16,0,S12,9,0,31,Organic,0,191.7,116,4,,Regular,419.37,20.97,398.4,63.16,8681838850
94,T200787,2024-08-15,C1283,31,M,56722,3,2022-08-14,P100,Electronics,Pune,Offline,NetBanking,POS,505.65,15,1,Seasonal,1,429.8,328.67,101.13,23.53,0,S10,9,0,18,,0,220.73,191,4,,Regular,505.65,75.85,429.8,23.53,8681838850
